racha_actual,puntaje_estrategia,payout,ret_1m,ret_3m,ret_5m,slope_5m,rv_20,range_norm,bb_z,body_ratio,wick_imbalance,micro_trend_persist,close_0,close_1,close_2,close_3,close_4,close_5,close_6,close_7,close_8,close_9,close_10,close_11,close_12,close_13,close_14,close_15,close_16,close_17,close_18,close_19,row_has_proxy_features,row_train_eligible,result_bin
-2.0,0.2844569468927986,0.9524999999999999,-0.5104,-0.12980000000000003,-0.28204,0.023957344220494874,0.02412222848119494,0.11282235974352554,-0.3988571428571429,0.5104,-0.7897142857142857,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
2.0,0.14319156281116713,0.95,-0.30939999999999995,-0.15840000000000004,-0.2188,0.011746650614193166,0.02495826099714138,0.10098133780215243,-0.7661,0.30939999999999995,-0.881525,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-3.0,0.14193955400785202,0.9537500000000001,0.0048000000000000395,0.03400000000000006,0.022320000000000048,0.020050761100982847,0.014143353556957394,0.04317893894091816,-0.9805999999999999,0.0048000000000000395,-0.90515,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
-1.0,0.13778122067451867,0.9550000000000001,0.0048000000000000395,0.03400000000000006,0.022320000000000048,0.020050761100982847,0.014143353556957394,0.04317893894091816,-0.9805999999999999,0.0048000000000000395,-0.96515,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
-3.0,0.11196360539640753,0.9524999999999999,0.09159999999999996,-0.08579999999999999,-0.014840000000000006,0.009436199195329748,0.018673811512469163,0.06473053687533897,-0.9113,0.09159999999999996,-0.887825,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-1.0,0.10776756853946086,0.9550000000000001,0.09840000000000003,-0.08099999999999995,-0.009239999999999957,0.009393970749712814,0.018566833614564793,0.06464595795220526,-0.9103,0.09840000000000003,-0.9475750000000001,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
1.0,0.2237910201653219,0.95,-0.2744,-0.365,-0.32876,0.02801161141362152,0.037364326587285945,0.13724865146449683,-0.6803,0.2744,-0.890075,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
1.0,0.14888263957306094,0.95,0.01519999999999996,0.04780000000000001,0.034759999999999985,0.021843800032611684,0.01844007953020199,0.05521323514596335,-0.9685,0.01519999999999996,-0.962125,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-4.0,0.12168593124720399,0.9524999999999999,0.08180000000000007,0.09319999999999994,0.08864,0.010899242169632423,0.022550777178967252,0.07300075889886871,-0.9125,0.08180000000000007,-0.858125,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
-2.0,0.11740039205780983,0.9524999999999999,0.07819999999999994,0.09060000000000003,0.08564,0.010967526394226584,0.02274018489916918,0.07291242943140457,-0.9156,0.07819999999999994,-0.9189,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
-1.0,0.20226652324760092,0.9550000000000001,0.4212,0.16319999999999993,0.26639999999999997,0.014400396594023505,0.0030624126133583784,0.05564517260576119,-0.6537142857142856,0.4212,-0.8834285714285715,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-1.0,0.1964359324261355,0.9550000000000001,0.4052000000000001,0.14980000000000004,0.2519600000000001,0.014330921058922185,0.002945356931942422,0.05297525865352981,-0.6994285714285711,0.4052000000000001,-0.8948571428571428,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-1.0,0.14232449941755257,0.9550000000000001,0.2809999999999999,0.2568000000000001,0.26648000000000005,0.014257494458928627,0.0028220823734809164,0.05124380373644076,-0.7311,0.2809999999999999,-0.902775,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
