racha_actual,puntaje_estrategia,payout,ret_1m,ret_3m,ret_5m,slope_5m,rv_20,range_norm,bb_z,body_ratio,wick_imbalance,micro_trend_persist,ts_ingest,result_bin
-1.0,0.1942975849916457,0.9550000000000001,0.0002734133218992,0.0015681529942975,0.0019411273372365,0.0003908576477344,0.0005055222301658,0.0009271674497726,0.8460186621374487,0.3166666666666376,-0.6626413838989933,0.1578947368421052,1773793955.3280354,0
-1.0,0.19561996358131495,0.9550000000000001,0.0003354264991748,0.0016302464405473,0.0020032439064882,0.0004032621947038,0.0005647066948286,0.0009333254434132,1.7247321549952783,0.3630152082873193,-0.6369847917126806,0.6,1773793955.4058244,0
4.0,0.4318150872485635,0.95,-0.001913910594775,-0.0039053470405742,-0.0036811010447025,-0.000949331994438,0.00142251976205,0.0018153697015825,-1.9359460321431008,0.9970059880239548,0.0029940119760452,0.2,1773793977.464686,1
-4.0,0.48653359829847387,0.95,-0.002243054455023,-0.0042338341748281,-0.0040096621296842,-0.0010152061550986,0.0014476101270432,0.0018333308683146,-2.026954890499255,0.9974226804123734,0.0025773195876266,0.2,1773793982.90656,1
1.0,0.44794015292001416,0.95,-0.0014750521144444,-0.0034673641949023,-0.0032430195980602,-0.0008615132657202,0.0013947346846466,0.0018450931381683,-1.8095210285373884,0.6083916083915902,-0.3869463869464093,0.2,1773794006.793323,1
6.0,0.1666839566677816,0.95,0.0001776280346258,0.0007147035401953,0.0004406248959625,0.0001663570334509,0.0003682706740836,0.0005315210340394,1.850658675157316,0.542011305208602,-0.457988694791398,0.2,1773794054.0558918,0
-2.0,0.23501646114157027,0.9524999999999999,0.0003650029664717,0.0003449100626473,0.0007076941638644,0.000169686983713,0.0003717184796954,0.0005180267480946,0.9815042318526374,0.7572802322415932,-0.0982037557834842,0.0526315789473684,1773794111.1708548,1
-2.0,0.23598774783068804,0.9524999999999999,0.0003772261466988,0.0003571329973648,0.0007199215313394,0.0001721312307958,0.0003762272351178,0.0005367588587039,1.9837010344932864,0.7808672775106331,-0.1217908010525241,0.2,1773794111.2297602,1
5.0,0.4632152784100922,0.95,-0.0008986648408079,-0.0038582974729065,-0.0058458543707038,-0.0010111149373914,0.0011443251702799,0.001739045862826,-2.2968175953872407,0.4115523465704359,0.4151624548735997,-0.6,1773794119.27547,0
1.0,0.4277596036965018,0.95,-0.0011798796889519,-0.0041386792797844,-0.0061256767443276,-0.0010673479456605,0.001157689154618,0.0017466224824653,-2.369601991951044,0.5351170568562313,0.4648829431437687,-0.6,1773794119.3311985,0
2.0,0.1496071771566532,0.95,-0.0018891017454235,-0.0017934880948578,-9.862274667012049e-05,-0.0002018573002038,0.0009714617609756,0.0015189120403172,-1.8181197009014505,1.0,0.0,0.2,1773794180.7408931,1
